Table of contents,,,,,,,,,,,
"SHS clients, by state/territory, age group and sex, July 2017 to June 2021",,,,,,,,,,,
,,,,,,,,,,,
Month,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
JAN21,Total,All Ages,"23,063","31,793","12,572","6,724","5,960","2,536","1,848","3,424","87,719"
DEC20,Female,0–4 years,"1,116","1,162",675,311,246,49,91,141,"3,784"
DEC20,Female,5–9 years,830,"1,069",576,234,205,46,78,160,"3,194"
DEC20,Female,10–14 years,918,871,496,224,206,45,61,183,"3,001"
DEC20,Female,15–17 years,"1,052",768,450,246,251,91,67,109,"3,030"
DEC20,Female,18–19 years,990,819,392,207,216,114,58,108,"2,903"
DEC20,Female,20–24 years,"1,971","2,133",820,449,533,206,137,215,"6,449"
DEC20,Female,25–29 years,"1,253","2,228",723,441,404,157,104,197,"5,490"
DEC20,Female,30–34 years,"1,243","2,406",687,488,464,157,125,203,"5,746"
DEC20,Female,35–39 years,"1,145","2,369",693,472,416,153,112,210,"5,551"
DEC20,Female,40–44 years,976,"1,934",590,377,301,71,77,154,"4,469"
DEC20,Female,45–49 years,864,"1,557",440,287,227,95,51,134,"3,649"
DEC20,Female,50–54 years,596,"1,066",295,214,148,59,31,92,"2,493"
DEC20,Female,55–59 years,374,677,160,127,89,42,19,72,"1,558"
DEC20,Female,60–64 years,226,393,109,77,51,31,10,46,942
DEC20,Female,65+ years,306,623,110,101,52,53,9,47,"1,301"
DEC20,Female,All Females,"13,860","20,075","7,216","4,255","3,809","1,369","1,030","2,071","53,560"
DEC20,Male,0–4 years,"1,223","1,141",761,294,312,51,93,165,"4,037"
DEC20,Male,5–9 years,941,"1,084",606,255,220,57,71,146,"3,372"
DEC20,Male,10–14 years,837,885,484,238,178,47,57,163,"2,887"
DEC20,Male,15–17 years,636,586,295,121,162,56,53,71,"1,980"
DEC20,Male,18–19 years,555,492,225,102,130,66,34,41,"1,642"
DEC20,Male,20–24 years,"1,013","1,099",362,165,258,129,61,57,"3,144"
DEC20,Male,25–29 years,470,879,260,123,141,91,46,51,"2,056"
DEC20,Male,30–34 years,455,"1,039",282,130,175,86,53,58,"2,274"
DEC20,Male,35–39 years,620,"1,129",392,174,224,112,58,70,"2,772"
DEC20,Male,40–44 years,613,"1,088",369,171,188,114,60,74,"2,670"
DEC20,Male,45–49 years,641,"1,098",374,146,174,102,67,63,"2,658"
DEC20,Male,50–54 years,534,766,265,144,119,80,48,80,"2,028"
DEC20,Male,55–59 years,320,519,190,107,91,62,32,68,"1,389"
DEC20,Male,60–64 years,214,276,101,60,48,41,18,44,800
DEC20,Male,65+ years,252,465,137,91,55,46,27,52,"1,125"
DEC20,Male,All Males,"9,324","12,546","5,103","2,321","2,475","1,140",778,"1,203","34,834"
DEC20,Total,0–4 years,"2,339","2,303","1,436",605,558,100,184,306,"7,821"
DEC20,Total,5–9 years,"1,771","2,153","1,182",489,425,103,149,306,"6,566"
DEC20,Total,10–14 years,"1,755","1,756",980,462,384,92,118,346,"5,888"
DEC20,Total,15–17 years,"1,688","1,354",745,367,413,147,120,180,"5,010"
DEC20,Total,18–19 years,"1,545","1,311",617,309,346,180,92,149,"4,545"
DEC20,Total,20–24 years,"2,984","3,232","1,182",614,791,335,198,272,"9,593"
DEC20,Total,25–29 years,"1,723","3,107",983,564,545,248,150,248,"7,546"
DEC20,Total,30–34 years,"1,698","3,445",969,618,639,243,178,261,"8,020"
DEC20,Total,35–39 years,"1,765","3,498","1,085",646,640,265,170,280,"8,323"
DEC20,Total,40–44 years,"1,589","3,022",959,548,489,185,137,228,"7,139"
DEC20,Total,45–49 years,"1,505","2,655",814,433,401,197,118,197,"6,307"
DEC20,Total,50–54 years,"1,130","1,832",560,358,267,139,79,172,"4,521"
DEC20,Total,55–59 years,694,"1,196",350,234,180,104,51,140,"2,947"
DEC20,Total,60–64 years,440,669,210,137,99,72,28,90,"1,742"
DEC20,Total,65+ years,558,"1,088",247,192,107,99,36,99,"2,426"
DEC20,Total,All Ages,"23,184","32,621","12,319","6,576","6,284","2,509","1,808","3,274","88,394"
NOV20,Female,0–4 years,"1,185","1,162",683,277,279,55,92,152,"3,879"
NOV20,Female,5–9 years,896,"1,066",621,208,202,45,80,156,"3,268"
NOV20,Female,10–14 years,916,898,518,218,175,54,64,182,"3,023"
NOV20,Female,15–17 years,"1,065",764,479,267,250,102,78,131,"3,131"
NOV20,Female,18–19 years,"1,036",836,415,214,232,111,67,105,"3,013"
NOV20,Female,20–24 years,"2,029","2,223",832,424,553,201,142,234,"6,629"
